,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Phase_0_probability,Phase_1_probability
5179,7.7,6.4,1,0.11419802611601426,0.8858019738839857
5180,7.8,6.4,1,0.1188989351174996,0.8811010648825004
5181,7.9,6.4,1,0.12362679617831418,0.8763732038216858
5182,8.0,6.4,1,0.1283781659315082,0.8716218340684918
5183,8.1,6.4,1,0.13314983086331722,0.8668501691366828
5184,0.1,6.5,0,0.9985557947518373,0.0014442052481626888
5185,0.2,6.5,0,0.9985093591070608,0.0014906408929391546
5186,0.3,6.5,0,0.9983604035975304,0.0016395964024695786
5187,0.4,6.5,0,0.9980557676778972,0.0019442323221028346
5188,0.5,6.5,0,0.9974914148658627,0.00250858513413732
5189,0.6,6.5,0,0.9964610782835734,0.0035389217164265574
5190,0.7,6.5,0,0.9945476768267554,0.005452323173244622
5191,0.8,6.5,0,0.9908848872039471,0.009115112796052927
5192,0.9,6.5,0,0.9835936667847136,0.016406333215286395
5193,1.0,6.5,0,0.9684001092397239,0.03159989076027614
5194,1.1,6.5,0,0.9357333591873385,0.06426664081266154
5195,1.2,6.5,0,0.8667666956011999,0.1332333043988001
5196,1.3,6.5,0,0.7344502776062427,0.2655497223937573
5197,1.4,6.5,0,0.5327933880575415,0.4672066119424585
5198,1.5,6.5,1,0.3206404918506678,0.6793595081493322
5199,1.6,6.5,1,0.16836287576256836,0.8316371242374316
5200,1.7,6.5,1,0.08373752984664407,0.9162624701533559
5201,1.8,6.5,1,0.04176781564672183,0.9582321843532782
5202,1.9,6.5,1,0.021623666378900452,0.9783763336210995
5203,2.0,6.5,1,0.011800551456758512,0.9881994485432415
5204,2.1,6.5,1,0.0068114981891085336,0.9931885018108915
5205,2.2,6.5,1,0.004170885568669291,0.9958291144313307
5206,2.3,6.5,1,0.002724534115031929,0.9972754658849681
5207,2.4,6.5,1,0.0019094569626076918,0.9980905430373923
5208,2.5,6.5,1,0.0014405219451418816,0.9985594780548581
5209,2.6,6.5,1,0.0011697957183969265,0.9988302042816031
5210,2.7,6.5,1,0.0010192290284294359,0.9989807709715706
5211,2.8,6.5,1,0.0009472948891016131,0.9990527051108984
5212,2.9,6.5,1,0.000932157449483384,0.9990678425505166
5213,3.0,6.5,1,0.0009630583208490862,0.9990369416791509
5214,3.1,6.5,1,0.0010358342969993828,0.9989641657030006
5215,3.2,6.5,1,0.001150533745658322,0.9988494662543417
5216,3.3,6.5,1,0.0013101079333637244,0.9986898920666363
5217,3.4,6.5,1,0.001519652730053167,0.9984803472699468
5218,3.5,6.5,1,0.0017859263757600274,0.99821407362424
5219,3.6,6.5,1,0.0021169977160298004,0.9978830022839702
5220,3.7,6.5,1,0.00252194797451466,0.9974780520254853
5221,3.8,6.5,1,0.003010587631706585,0.9969894123682934
5222,3.9,6.5,1,0.0035931724223701167,0.9964068275776299
5223,4.0,6.5,1,0.004280115922142613,0.9957198840778574
5224,4.1,6.5,1,0.005081703962559914,0.9949182960374401
5225,4.2,6.5,1,0.006007820005720532,0.9939921799942795
5226,4.3,6.5,1,0.0070676918231811214,0.9929323081768189
5227,4.4,6.5,1,0.008269669004562274,0.9917303309954377
5228,4.5,6.5,1,0.00962103888070942,0.9903789611192906
5229,4.6,6.5,1,0.011127885715382035,0.988872114284618
5230,4.7,6.5,1,0.012794995223430305,0.9872050047765697
5231,4.8,6.5,1,0.014625803758121947,0.985374196241878
5232,4.9,6.5,1,0.016622389288272643,0.9833776107117274
5233,5.0,6.5,1,0.018785499577688825,0.9812145004223112
5234,5.1,6.5,1,0.021114611867801614,0.9788853881321984
5235,5.2,6.5,1,0.023608017808442128,0.9763919821915579
5236,5.3,6.5,1,0.026262927292009408,0.9737370727079906
5237,5.4,6.5,1,0.029075585143914395,0.9709244148560856
5238,5.5,6.5,1,0.03204139516071791,0.9679586048392821
5239,5.6,6.5,1,0.03515504672225234,0.9648449532777477
5240,5.7,6.5,1,0.038410639994481244,0.9615893600055188
5241,5.8,6.5,1,0.041801806563398713,0.9581981934366013
5242,5.9,6.5,1,0.04532182309878863,0.9546781769012114
5243,6.0,6.5,1,0.04896371638437813,0.9510362836156219
5244,6.1,6.5,1,0.052720358634473996,0.947279641365526
5245,6.2,6.5,1,0.05658455255456829,0.9434154474454317
5246,6.3,6.5,1,0.06054910602711061,0.9394508939728894
5247,6.4,6.5,1,0.06460689661787455,0.9353931033821254
5248,6.5,6.5,1,0.06875092634629709,0.9312490736537029
5249,6.6,6.5,1,0.07297436734972962,0.9270256326502704
5250,6.7,6.5,1,0.07727059915328027,0.9227294008467197
5251,6.8,6.5,1,0.08163323834003222,0.9183667616599678
5252,6.9,6.5,1,0.0860561614309745,0.9139438385690255
5253,7.0,6.5,1,0.09053352175840246,0.9094664782415975
5254,7.1,6.5,1,0.0950597611071089,0.9049402388928911
5255,7.2,6.5,1,0.09962961683504545,0.9003703831649545
5256,7.3,6.5,1,0.10423812512431141,0.8957618748756886
5257,7.4,6.5,1,0.10888062096591966,0.8911193790340803
5258,7.5,6.5,1,0.11355273539243171,0.8864472646075683
5259,7.6,6.5,1,0.11825039043492325,0.8817496095650768
